StudyID,ES_ID,prg_out,Cn_aid_prg_typ,typ_out,Cn_aid_EGM_typ,Co02_macro.1,Cn_Assign_anl_re,g_yi_f,g_vi,z_pofo_int_eSS,z_pofo_co_eSS
7,326664,02 Institutional aid_F00 Labor market,02 Institutional aid,Merit-based only_F00 Labor market,Merit-based only,F00 Labor market,01 NonRandom QED TOT,0.0674862713663399,1.75085593140278e-4,13944,9683
7,326668,02 Institutional aid_E00 Degree completion,02 Institutional aid,Merit-based only_E00 Degree completion,Merit-based only,E00 Degree completion,01 NonRandom QED TOT,0,1.44e-4,17797,12475
52,326669,02 Institutional aid_E00 Degree completion,02 Institutional aid,01 Need-based only_E00 Degree completion,01 Need-based only,E00 Degree completion,01 NonRandom QED TOT,0.104894892236329,0.0984109961899112,207,207
52,326671,02 Institutional aid_E00 Degree completion,02 Institutional aid,01 Need-based only_E00 Degree completion,01 Need-based only,E00 Degree completion,01 NonRandom QED TOT,0.0233328242457301,0.0982971528314317,207,207
52,326681,02 Institutional aid_C00 College academic achievement,02 Institutional aid,01 Need-based only_C00 College academic achievement,01 Need-based only,C00 College academic achievement,01 NonRandom QED TOT,0.0170474529708711,0.0982951587306589,207,207
52,326682,02 Institutional aid_D01 Persistence,02 Institutional aid,01 Need-based only_D01 Persistence,01 Need-based only,D01 Persistence,01 NonRandom QED TOT,0.174317542122619,0.0986362170440886,207,207
86,326684,02 Institutional aid_D00 Credit accumulation,02 Institutional aid,01 Need-based only_D00 Credit accumulation,01 Need-based only,D00 Credit accumulation,RCT ITT,0.219360767235421,0.0671909613421881,451,445
86,326685,02 Institutional aid_D01 Persistence,02 Institutional aid,01 Need-based only_D01 Persistence,01 Need-based only,D01 Persistence,RCT ITT,0.33416344536618803,0.0677028911381872,451,445
86,326686,02 Institutional aid_B00 Enrollment,02 Institutional aid,01 Need-based only_B00 Enrollment,01 Need-based only,B00 Enrollment,RCT ITT,0.29940692387517,0.120793340686049,141,139
86,326687,02 Institutional aid_E00 Degree completion,02 Institutional aid,01 Need-based only_E00 Degree completion,01 Need-based only,E00 Degree completion,RCT ITT,0.457521053977975,0.122516286392213,141,139
86,326688,02 Institutional aid_D01 Persistence,02 Institutional aid,01 Need-based only_D01 Persistence,01 Need-based only,D01 Persistence,RCT ITT,0.22734533974402,0.12024646505102,141,139
86,326689,02 Institutional aid_E00 Degree completion,02 Institutional aid,01 Need-based only_E00 Degree completion,01 Need-based only,E00 Degree completion,RCT ITT,0.597918298516775,0.124628070596122,141,139
86,326691,02 Institutional aid_C00 College academic achievement,02 Institutional aid,01 Need-based only_C00 College academic achievement,01 Need-based only,C00 College academic achievement,RCT ITT,0.18093754329764,0.119974814733508,141,139
52,326695,02 Institutional aid_D00 Credit accumulation,02 Institutional aid,01 Need-based only_D00 Credit accumulation,01 Need-based only,D00 Credit accumulation,01 NonRandom QED TOT,0.194648299611749,0.0987937120720574,207,207
52,326696,02 Institutional aid_D00 Credit accumulation,02 Institutional aid,01 Need-based only_D00 Credit accumulation,01 Need-based only,D00 Credit accumulation,01 NonRandom QED TOT,0.353121447107325,0.0998771677974483,207,207
86,326697,02 Institutional aid_D01 Persistence,02 Institutional aid,01 Need-based only_D01 Persistence,01 Need-based only,D01 Persistence,RCT ITT,0.1650799200138,0.119896557008928,141,139
86,326698,02 Institutional aid_D01 Persistence,02 Institutional aid,01 Need-based only_D01 Persistence,01 Need-based only,D01 Persistence,RCT ITT,0.50296503056865,0.123141235495013,141,139
86,326699,02 Institutional aid_D01 Persistence,02 Institutional aid,01 Need-based only_D01 Persistence,01 Need-based only,D01 Persistence,RCT ITT,0.170352116133443,0.119921750059412,141,139
86,326700,02 Institutional aid_D01 Persistence,02 Institutional aid,01 Need-based only_D01 Persistence,01 Need-based only,D01 Persistence,RCT ITT,0.106908633385628,0.11967331687433,141,139
86,326701,02 Institutional aid_D01 Persistence,02 Institutional aid,01 Need-based only_D01 Persistence,01 Need-based only,D01 Persistence,RCT ITT,0.033936887676455,0.119535733233115,141,139
86,326702,02 Institutional aid_D00 Credit accumulation,02 Institutional aid,01 Need-based only_D00 Credit accumulation,01 Need-based only,D00 Credit accumulation,RCT ITT,0.117998628377557,0.0669186672510229,451,445
86,326703,02 Institutional aid_D00 Credit accumulation,02 Institutional aid,01 Need-based only_D00 Credit accumulation,01 Need-based only,D00 Credit accumulation,RCT ITT,0.253608526917521,0.0673212223202349,451,445
86,326704,02 Institutional aid_D00 Credit accumulation,02 Institutional aid,01 Need-based only_D00 Credit accumulation,01 Need-based only,D00 Credit accumulation,RCT ITT,0.18893942856521,0.0670914072327347,451,445
86,326705,02 Institutional aid_D00 Credit accumulation,02 Institutional aid,01 Need-based only_D00 Credit accumulation,01 Need-based only,D00 Credit accumulation,RCT ITT,0.218423253600402,0.0671876659436616,451,445
86,326706,02 Institutional aid_D00 Credit accumulation,02 Institutional aid,01 Need-based only_D00 Credit accumulation,01 Need-based only,D00 Credit accumulation,RCT ITT,0.0571186384816205,0.0668371068447125,451,445
86,326707,02 Institutional aid_D01 Persistence,02 Institutional aid,01 Need-based only_D01 Persistence,01 Need-based only,D01 Persistence,RCT ITT,0.35880278575066,0.0678405269255916,451,445
86,326708,02 Institutional aid_D01 Persistence,02 Institutional aid,01 Need-based only_D01 Persistence,01 Need-based only,D01 Persistence,RCT ITT,0.485723348923582,0.0687015542685249,451,445
86,326709,02 Institutional aid_D01 Persistence,02 Institutional aid,01 Need-based only_D01 Persistence,01 Need-based only,D01 Persistence,RCT ITT,0.455245605923291,0.0684718299958902,451,445
86,326710,02 Institutional aid_D01 Persistence,02 Institutional aid,01 Need-based only_D01 Persistence,01 Need-based only,D01 Persistence,RCT ITT,0.419315365441576,0.0682195347214573,451,445
86,326711,02 Institutional aid_D01 Persistence,02 Institutional aid,01 Need-based only_D01 Persistence,01 Need-based only,D01 Persistence,RCT ITT,0.358048437700478,0.0678361690513751,451,445
7078,326713,09 State aid_D01 Persistence,09 State aid,Merit-based only_D01 Persistence,Merit-based only,D01 Persistence,01 NonRandom QED TOT,0.0996245523157445,0.00633616,3538,2791
7078,326716,09 State aid_C00 College academic achievement,09 State aid,Merit-based only_C00 College academic achievement,Merit-based only,C00 College academic achievement,01 NonRandom QED TOT,0.337691560333537,0.0251785316968763,3538,2971
7078,326717,09 State aid_D00 Credit accumulation,09 State aid,Merit-based only_D00 Credit accumulation,Merit-based only,D00 Credit accumulation,01 NonRandom QED TOT,0.44442387794319,0.0218670324250433,3500,5757
1259,326730,06 National scholarship_E00 Degree completion,06 National scholarship,Both Need and Merit-Based_E00 Degree completion,Both Need and Merit-Based,E00 Degree completion,01 NonRandom QED TOT,0.0339361802859578,8.41e-4,950,6973
1259,326731,06 National scholarship_D01 Persistence,06 National scholarship,Both Need and Merit-Based_D01 Persistence,Both Need and Merit-Based,D01 Persistence,01 NonRandom QED TOT,0.0248461319950762,4.41e-4,950,6973
1259,326732,06 National scholarship_D01 Persistence,06 National scholarship,Both Need and Merit-Based_D01 Persistence,Both Need and Merit-Based,D01 Persistence,01 NonRandom QED TOT,0.0521162768677209,6.76e-4,950,6973
1259,326733,06 National scholarship_D00 Credit accumulation,06 National scholarship,Both Need and Merit-Based_D00 Credit accumulation,Both Need and Merit-Based,D00 Credit accumulation,01 NonRandom QED TOT,0.0220595407161978,0.00138369622727386,950,2376
1259,326734,06 National scholarship_D00 Credit accumulation,06 National scholarship,Both Need and Merit-Based_D00 Credit accumulation,Both Need and Merit-Based,D00 Credit accumulation,01 NonRandom QED TOT,0.156757287937193,0.00134016490285632,950,2376
1259,326735,06 National scholarship_D00 Credit accumulation,06 National scholarship,Both Need and Merit-Based_D00 Credit accumulation,Both Need and Merit-Based,D00 Credit accumulation,01 NonRandom QED TOT,0.176569521770922,0.00133084313027022,950,2376
1259,326736,06 National scholarship_D00 Credit accumulation,06 National scholarship,Both Need and Merit-Based_D00 Credit accumulation,Both Need and Merit-Based,D00 Credit accumulation,01 NonRandom QED TOT,0.106881453174229,0.00128072140071579,950,2376
1259,326737,06 National scholarship_C00 College academic achievement,06 National scholarship,Both Need and Merit-Based_C00 College academic achievement,Both Need and Merit-Based,C00 College academic achievement,01 NonRandom QED TOT,0.0557218268740321,0.00131188799502421,950,2376
1259,326738,06 National scholarship_C00 College academic achievement,06 National scholarship,Both Need and Merit-Based_C00 College academic achievement,Both Need and Merit-Based,C00 College academic achievement,01 NonRandom QED TOT,0.0620083919572562,0.0012972641876061,950,2376
1259,326739,06 National scholarship_C00 College academic achievement,06 National scholarship,Both Need and Merit-Based_C00 College academic achievement,Both Need and Merit-Based,C00 College academic achievement,01 NonRandom QED TOT,0.0766770438181125,0.00129609650267115,950,2376
1259,326740,06 National scholarship_C00 College academic achievement,06 National scholarship,Both Need and Merit-Based_C00 College academic achievement,Both Need and Merit-Based,C00 College academic achievement,01 NonRandom QED TOT,0.0740100162070478,0.0012754069887762,950,2376
1259,326743,06 National scholarship_D01 Persistence,06 National scholarship,Both Need and Merit-Based_D01 Persistence,Both Need and Merit-Based,D01 Persistence,01 NonRandom QED TOT,0.0381782028217025,4.84e-4,950,6973
1259,326744,06 National scholarship_D01 Persistence,06 National scholarship,Both Need and Merit-Based_D01 Persistence,Both Need and Merit-Based,D01 Persistence,01 NonRandom QED TOT,0.0430262285768393,5.29e-4,950,6973
57,326745,09 State aid_C00 College academic achievement,09 State aid,Merit-based only_C00 College academic achievement,Merit-based only,C00 College academic achievement,01 NonRandom QED TOT,0.0695553873069096,9.70234224865889e-4,1915,1817
86,326746,02 Institutional aid_E00 Degree completion,02 Institutional aid,01 Need-based only_E00 Degree completion,01 Need-based only,E00 Degree completion,RCT ITT,-0.0668741584149792,0.119607244865387,141,139
86,326747,02 Institutional aid_E00 Degree completion,02 Institutional aid,01 Need-based only_E00 Degree completion,01 Need-based only,E00 Degree completion,RCT ITT,0.20539345583863,0.120110063885847,141,139
86,326748,02 Institutional aid_E00 Degree completion,02 Institutional aid,01 Need-based only_E00 Degree completion,01 Need-based only,E00 Degree completion,RCT ITT,0.540400712094938,0.123698479412872,141,139
86,326749,02 Institutional aid_E00 Degree completion,02 Institutional aid,01 Need-based only_E00 Degree completion,01 Need-based only,E00 Degree completion,RCT ITT,0.300844579190666,0.12080578781073,141,139
86,326750,02 Institutional aid_E00 Degree completion,02 Institutional aid,01 Need-based only_E00 Degree completion,01 Need-based only,E00 Degree completion,RCT ITT,0.450868534075349,0.122429587824796,141,139
86,326751,02 Institutional aid_E00 Degree completion,02 Institutional aid,01 Need-based only_E00 Degree completion,01 Need-based only,E00 Degree completion,RCT ITT,0.47269834023303,0.12271867536962,141,139
1259,326753,06 National scholarship_D01 Persistence,06 National scholarship,Both Need and Merit-Based_D01 Persistence,Both Need and Merit-Based,D01 Persistence,01 NonRandom QED TOT,0.0593883155004261,7.84e-4,950,6973
1259,326754,06 National scholarship_D01 Persistence,06 National scholarship,Both Need and Merit-Based_D01 Persistence,Both Need and Merit-Based,D01 Persistence,01 NonRandom QED TOT,0.0260581384338605,3.61e-4,950,6973
3603,326760,02 Institutional aid_D01 Persistence,02 Institutional aid,01 Need-based only_D01 Persistence,01 Need-based only,D01 Persistence,01 NonRandom QED TOT,0.434400672713193,0.0423153468239569,1104,1242
3603,326765,02 Institutional aid_E00 Degree completion,02 Institutional aid,01 Need-based only_E00 Degree completion,01 Need-based only,E00 Degree completion,01 NonRandom QED TOT,0.676824141916184,0.0436459788190724,1104,1242
3603,326766,02 Institutional aid_E00 Degree completion,02 Institutional aid,01 Need-based only_E00 Degree completion,01 Need-based only,E00 Degree completion,01 NonRandom QED TOT,0.715975976210235,0.043910632612303,1104,1242
4105,326768,02 Institutional aid_D01 Persistence,02 Institutional aid,01 Need-based only_D01 Persistence,01 Need-based only,D01 Persistence,RCT ITT,0.341209036299141,9.87986871451748e-4,3495,3494
4105,326771,02 Institutional aid_D01 Persistence,02 Institutional aid,01 Need-based only_D01 Persistence,01 Need-based only,D01 Persistence,RCT ITT,0.184388962721696,9.31218790437439e-4,3495,3496
4105,326772,02 Institutional aid_D00 Credit accumulation,02 Institutional aid,01 Need-based only_D00 Credit accumulation,01 Need-based only,D00 Credit accumulation,RCT ITT,0.174360001512172,5.74502902697594e-4,3495,3494
4105,326774,02 Institutional aid_D00 Credit accumulation,02 Institutional aid,01 Need-based only_D00 Credit accumulation,01 Need-based only,D00 Credit accumulation,RCT ITT,0.097916405169246,5.72849934636477e-4,3495,3496
4105,326775,02 Institutional aid_D01 Persistence,02 Institutional aid,01 Need-based only_D01 Persistence,01 Need-based only,D01 Persistence,RCT ITT,0.0122725293302102,8.51398173978209e-4,3495,3494
4105,326776,02 Institutional aid_D01 Persistence,02 Institutional aid,01 Need-based only_D01 Persistence,01 Need-based only,D01 Persistence,RCT ITT,0.0122725293302102,8.5115487788892e-4,3495,3496
6104,326787,02 Institutional aid_E00 Degree completion,02 Institutional aid,Merit-based only_E00 Degree completion,Merit-based only,E00 Degree completion,01 NonRandom QED TOT,0.519124445712616,0.1024,58,250
6104,326788,02 Institutional aid_D00 Credit accumulation,02 Institutional aid,Merit-based only_D00 Credit accumulation,Merit-based only,D00 Credit accumulation,01 NonRandom QED TOT,0.221562013171232,7.16932492428022e-4,58,250
6104,326789,02 Institutional aid_C00 College academic achievement,02 Institutional aid,Merit-based only_C00 College academic achievement,Merit-based only,C00 College academic achievement,01 NonRandom QED TOT,0.170521549404037,0.00217134182520843,58,250
4,326800,09 State aid_D00 Credit accumulation,09 State aid,01 Need-based only_D00 Credit accumulation,01 Need-based only,D00 Credit accumulation,RCT ITT,0.0122102197819282,0.00126167587215239,1063,3116
4,326801,09 State aid_C00 College academic achievement,09 State aid,01 Need-based only_C00 College academic achievement,01 Need-based only,C00 College academic achievement,RCT ITT,0.0154662783904424,0.00126168665419356,1063,3116
4,326803,09 State aid_D01 Persistence,09 State aid,01 Need-based only_D01 Persistence,01 Need-based only,D01 Persistence,RCT ITT,1.0301180234741,1.69,1063,3116
4,326804,09 State aid_D01 Persistence,09 State aid,01 Need-based only_D01 Persistence,01 Need-based only,D01 Persistence,RCT ITT,0.302975889257089,3.61,1063,3116
4,326805,09 State aid_D00 Credit accumulation,09 State aid,01 Need-based only_D00 Credit accumulation,01 Need-based only,D00 Credit accumulation,RCT ITT,0.00128885653253687,0.00126165823296646,1063,3116
4,326806,09 State aid_C00 College academic achievement,09 State aid,01 Need-based only_C00 College academic achievement,01 Need-based only,C00 College academic achievement,RCT ITT,0,3.24,1063,3116
4,326807,09 State aid_D01 Persistence,09 State aid,01 Need-based only_D01 Persistence,01 Need-based only,D01 Persistence,RCT ITT,0.787691242344896,2.25,789,2364
4,326808,09 State aid_D01 Persistence,09 State aid,01 Need-based only_D01 Persistence,01 Need-based only,D01 Persistence,RCT ITT,0.00605916340265298,4.84,789,2364
4,326809,09 State aid_D01 Persistence,09 State aid,01 Need-based only_D01 Persistence,01 Need-based only,D01 Persistence,RCT ITT,0.484733072212244,4,789,2364
4,326810,09 State aid_D01 Persistence,09 State aid,01 Need-based only_D01 Persistence,01 Need-based only,D01 Persistence,RCT ITT,-0.545324706238774,3.61,789,2364
4,326811,09 State aid_D01 Persistence,09 State aid,01 Need-based only_D01 Persistence,01 Need-based only,D01 Persistence,RCT ITT,0.484733072212244,4.84,789,2364
4,326812,09 State aid_E00 Degree completion,09 State aid,01 Need-based only_E00 Degree completion,01 Need-based only,E00 Degree completion,RCT ITT,-0.302958170132652,3.61,789,2364
4,326813,09 State aid_E00 Degree completion,09 State aid,01 Need-based only_E00 Degree completion,01 Need-based only,E00 Degree completion,RCT ITT,-0.602145852364004,4.41,789,2364
4,326814,09 State aid_D01 Persistence,09 State aid,01 Need-based only_D01 Persistence,01 Need-based only,D01 Persistence,RCT ITT,0.00508705671006843,0.00169044307100597,789,2364
4,326815,09 State aid_D00 Credit accumulation,09 State aid,01 Need-based only_D00 Credit accumulation,01 Need-based only,D00 Credit accumulation,RCT ITT,0.0106143394815851,0.00169045683346342,789,2364
4,326816,09 State aid_C00 College academic achievement,09 State aid,01 Need-based only_C00 College academic achievement,01 Need-based only,C00 College academic achievement,RCT ITT,0,0.00169043896727207,789,2364
4,326820,09 State aid_D01 Persistence,09 State aid,01 Need-based only_D01 Persistence,01 Need-based only,D01 Persistence,RCT ITT,-0.602145852364004,1.96,789,2364
91,326821,01 Promise program_B00 Enrollment,01 Promise program,Both Need and Merit-Based_B00 Enrollment,Both Need and Merit-Based,B00 Enrollment,01 NonRandom QED TOT,0.0230298939638841,8.1e-5,21113,21114
91,326822,01 Promise program_B00 Enrollment,01 Promise program,Both Need and Merit-Based_B00 Enrollment,Both Need and Merit-Based,B00 Enrollment,01 NonRandom QED TOT,0.0236359438050389,1e-4,21113,21114
91,326823,01 Promise program_B00 Enrollment,01 Promise program,Both Need and Merit-Based_B00 Enrollment,Both Need and Merit-Based,B00 Enrollment,01 NonRandom QED TOT,0.0036362990469291,8.1e-5,21113,21114
91,326824,01 Promise program_B00 Enrollment,01 Promise program,Both Need and Merit-Based_B00 Enrollment,Both Need and Merit-Based,B00 Enrollment,01 NonRandom QED TOT,0.0206056945992647,1.21e-4,21113,21114
91,326828,01 Promise program_B00 Enrollment,01 Promise program,Both Need and Merit-Based_B00 Enrollment,Both Need and Merit-Based,B00 Enrollment,01 NonRandom QED TOT,0.0248480434873486,1e-4,21113,21114
91,326829,01 Promise program_B00 Enrollment,01 Promise program,Both Need and Merit-Based_B00 Enrollment,Both Need and Merit-Based,B00 Enrollment,01 NonRandom QED TOT,0.0145451961877163,6.4e-5,21113,21114
91,326830,01 Promise program_B00 Enrollment,01 Promise program,Both Need and Merit-Based_B00 Enrollment,Both Need and Merit-Based,B00 Enrollment,01 NonRandom QED TOT,-0.0103028472996324,9e-6,21113,21114
91,326831,01 Promise program_B00 Enrollment,01 Promise program,Both Need and Merit-Based_B00 Enrollment,Both Need and Merit-Based,B00 Enrollment,01 NonRandom QED TOT,0.0303024920577423,1e-4,21113,21114
91,326832,01 Promise program_B00 Enrollment,01 Promise program,Both Need and Merit-Based_B00 Enrollment,Both Need and Merit-Based,B00 Enrollment,01 NonRandom QED TOT,-0.00606049841154842,4e-6,21113,21114
91,326833,01 Promise program_B00 Enrollment,01 Promise program,Both Need and Merit-Based_B00 Enrollment,Both Need and Merit-Based,B00 Enrollment,01 NonRandom QED TOT,0.00666654825270323,1.6e-5,21113,21114
91,326834,01 Promise program_B00 Enrollment,01 Promise program,Both Need and Merit-Based_B00 Enrollment,Both Need and Merit-Based,B00 Enrollment,01 NonRandom QED TOT,-0.0096967974584775,9e-6,21113,21114
8006,326837,02 Institutional aid_B00 Enrollment,02 Institutional aid,Merit-based only_B00 Enrollment,Merit-based only,B00 Enrollment,01 NonRandom QED TOT,6.06039290666335e-4,8.1e-5,12265,9062
8006,326838,02 Institutional aid_B00 Enrollment,02 Institutional aid,Merit-based only_B00 Enrollment,Merit-based only,B00 Enrollment,01 NonRandom QED TOT,0.00121207858133264,3.61e-4,12265,9062
8006,326839,02 Institutional aid_B00 Enrollment,02 Institutional aid,Merit-based only_B00 Enrollment,Merit-based only,B00 Enrollment,01 NonRandom QED TOT,-0.0163630608479903,1.96e-4,12265,9062
8006,326840,02 Institutional aid_B00 Enrollment,02 Institutional aid,Merit-based only_B00 Enrollment,Merit-based only,B00 Enrollment,01 NonRandom QED TOT,-0.0193932573013219,3.24e-4,12265,9062
8006,326841,02 Institutional aid_B00 Enrollment,02 Institutional aid,Merit-based only_B00 Enrollment,Merit-based only,B00 Enrollment,01 NonRandom QED TOT,-0.00484831432533045,2.56e-4,12265,9062
8006,326844,02 Institutional aid_E00 Degree completion,02 Institutional aid,Merit-based only_E00 Degree completion,Merit-based only,E00 Degree completion,01 NonRandom QED TOT,0.00121207858133264,4.9e-5,12265,9062
8006,326845,02 Institutional aid_E00 Degree completion,02 Institutional aid,Merit-based only_E00 Degree completion,Merit-based only,E00 Degree completion,01 NonRandom QED TOT,0.00424227503466418,1.96e-4,12265,9062
8006,326846,02 Institutional aid_F00 Labor market,02 Institutional aid,Merit-based only_F00 Labor market,Merit-based only,F00 Labor market,01 NonRandom QED TOT,-0.0332602473833479,2.48442949510104e-4,9963,6755
8006,326847,02 Institutional aid_F00 Labor market,02 Institutional aid,Merit-based only_F00 Labor market,Merit-based only,F00 Labor market,01 NonRandom QED TOT,0.219453883546898,0.0139402945954413,12265,9062
37,326849,01 Promise program_B00 Enrollment,01 Promise program,Merit-based only_B00 Enrollment,Merit-based only,B00 Enrollment,RDD ITT,0.0223927918738579,0.001764,194,343
37,326850,01 Promise program_B00 Enrollment,01 Promise program,Merit-based only_B00 Enrollment,Merit-based only,B00 Enrollment,RDD ITT,0.050837689659569,0.002116,194,343
37,326851,01 Promise program_B00 Enrollment,01 Promise program,Merit-based only_B00 Enrollment,Merit-based only,B00 Enrollment,RDD ITT,-0.0478116367036424,0.003364,194,343
37,326852,01 Promise program_B00 Enrollment,01 Promise program,Merit-based only_B00 Enrollment,Merit-based only,B00 Enrollment,RDD ITT,0.0114990012325216,0.001681,194,343
37,326853,01 Promise program_D01 Persistence,01 Promise program,Merit-based only_D01 Persistence,Merit-based only,D01 Persistence,RDD ITT,0.0441803731565302,0.003364,194,343
7880,326857,09 State aid_E00 Degree completion,09 State aid,Merit-based only_E00 Degree completion,Merit-based only,E00 Degree completion,01 NonRandom QED TOT,0.0218178375289597,6.4e-5,35755,11776
2909,326867,02 Institutional aid_B00 Enrollment,02 Institutional aid,Merit-based only_B00 Enrollment,Merit-based only,B00 Enrollment,RDD ITT,0.341405855905253,0.047524,306,318
4341,326868,02 Institutional aid_D01 Persistence,02 Institutional aid,Merit-based only_D01 Persistence,Merit-based only,D01 Persistence,01 NonRandom QED TOT,0.0926164523982501,0.194367501659593,181,31
4341,326870,02 Institutional aid_C00 College academic achievement,02 Institutional aid,Merit-based only_C00 College academic achievement,Merit-based only,C00 College academic achievement,01 NonRandom QED TOT,-0.283261603548039,0.0467450164243658,176,26
4341,326871,02 Institutional aid_C00 College academic achievement,02 Institutional aid,Merit-based only_C00 College academic achievement,Merit-based only,C00 College academic achievement,01 NonRandom QED TOT,-0.187563849340996,0.0512726722446604,158,24
7883,326874,02 Institutional aid_C00 College academic achievement,02 Institutional aid,01 Need-based only_C00 College academic achievement,01 Need-based only,C00 College academic achievement,01 NonRandom QED TOT,0.104985492566811,0.00407277919871108,691,384
7883,326875,02 Institutional aid_E00 Degree completion,02 Institutional aid,01 Need-based only_E00 Degree completion,01 Need-based only,E00 Degree completion,01 NonRandom QED TOT,0.23021952944067,0.0641004132001098,691,384
7883,326876,02 Institutional aid_E00 Degree completion,02 Institutional aid,01 Need-based only_E00 Degree completion,01 Need-based only,E00 Degree completion,01 NonRandom QED TOT,0.227714865884932,0.0640913929258424,691,384
57,326879,09 State aid_D00 Credit accumulation,09 State aid,Merit-based only_D00 Credit accumulation,Merit-based only,D00 Credit accumulation,01 NonRandom QED TOT,0.108483024236659,8.66052771291937e-4,1915,1817
3668,326880,01 Promise program_B00 Enrollment,01 Promise program,01 Need-based only_B00 Enrollment,01 Need-based only,B00 Enrollment,01 NonRandom QED TOT,1.44477548689542,0.219165592964794,119,97
7880,326883,09 State aid_E00 Degree completion,09 State aid,Merit-based only_E00 Degree completion,Merit-based only,E00 Degree completion,01 NonRandom QED TOT,-0.00484840833976882,8.1e-5,35755,11776
7880,326884,09 State aid_E00 Degree completion,09 State aid,Merit-based only_E00 Degree completion,Merit-based only,E00 Degree completion,01 NonRandom QED TOT,0.0187875823166042,1e-4,35755,11776
7880,326885,09 State aid_E00 Degree completion,09 State aid,Merit-based only_E00 Degree completion,Merit-based only,E00 Degree completion,01 NonRandom QED TOT,0.0290904500386131,1.44e-4,35755,11776
27,326888,09 State aid_B00 Enrollment,09 State aid,Merit-based only_B00 Enrollment,Merit-based only,B00 Enrollment,RDD ITT,6.06050117135102e-4,6.4e-5,21669,21669
27,326889,09 State aid_B00 Enrollment,09 State aid,Merit-based only_B00 Enrollment,Merit-based only,B00 Enrollment,RDD ITT,-0.0133331025769717,1.21e-4,21669,21669
27,326890,09 State aid_B00 Enrollment,09 State aid,Merit-based only_B00 Enrollment,Merit-based only,B00 Enrollment,RDD ITT,0.016363353162647,1.44e-4,21669,21669
3668,326893,01 Promise program_B00 Enrollment,01 Promise program,01 Need-based only_B00 Enrollment,01 Need-based only,B00 Enrollment,01 NonRandom QED TOT,0.638905576826549,0.143652245499825,119,97
3668,326895,01 Promise program_B00 Enrollment,01 Promise program,01 Need-based only_B00 Enrollment,01 Need-based only,B00 Enrollment,01 NonRandom QED TOT,1.44477548689542,0.141475288135477,173,195
3668,326897,01 Promise program_B00 Enrollment,01 Promise program,01 Need-based only_B00 Enrollment,01 Need-based only,B00 Enrollment,01 NonRandom QED TOT,1.44477548689542,0.283644273839999,95,68
6621,326903,02 Institutional aid_D00 Credit accumulation,02 Institutional aid,01 Need-based only_D00 Credit accumulation,01 Need-based only,D00 Credit accumulation,RCT ITT,0.130179377924508,0.0303213069292341,91,155
57,326904,09 State aid_E00 Degree completion,09 State aid,Merit-based only_E00 Degree completion,Merit-based only,E00 Degree completion,01 NonRandom QED TOT,0.429935354686138,0.0625,440,440
57,326905,09 State aid_E00 Degree completion,09 State aid,Merit-based only_E00 Degree completion,Merit-based only,E00 Degree completion,01 NonRandom QED TOT,0.327186595315379,0.0361,1426,1426
57,326906,09 State aid_D01 Persistence,09 State aid,Merit-based only_D01 Persistence,Merit-based only,D01 Persistence,01 NonRandom QED TOT,0.00605542753079061,0.0441,440,440
