factor_1,factor_2,factor_3,beta,SE,df,CI_L,CI_U,n_studies,n_es
07 Student performance-based financial incentives,E00 Degree completion,Both Need and Merit-Based,0.057,NA,NA,NA,NA,1,4
09 State aid,B00 Enrollment,01 Need-based only,0.011,NA,NA,NA,NA,1,5
09 State aid,B00 Enrollment,Both Need and Merit-Based,-0.01,NA,NA,NA,NA,1,6
09 State aid,B00 Enrollment,Merit-based only,0.162,0.108,4.133,-0.133,0.457,6,13
09 State aid,C00 College academic achievement,01 Need-based only,-0,0.009,1.009,-0.112,0.112,4,13
09 State aid,C00 College academic achievement,Merit-based only,0.027,0.084,5.892,-0.179,0.233,7,11
09 State aid,D00 Credit accumulation,01 Need-based only,0.023,0.008,1.002,-0.075,0.121,3,21
09 State aid,D00 Credit accumulation,Merit-based only,0.09,0.037,5.14,-0.003,0.183,7,15
09 State aid,D01 Persistence,01 Need-based only,0.025,0.002,1.282,0.012,0.038,9,30
09 State aid,D01 Persistence,Merit-based only,0.105,0.172,3.959,-0.375,0.585,5,6
09 State aid,E00 Degree completion,01 Need-based only,0.008,0.002,1.011,-0.02,0.035,7,27
09 State aid,E00 Degree completion,Both Need and Merit-Based,-0.003,NA,NA,NA,NA,1,2
09 State aid,E00 Degree completion,Merit-based only,0.163,0.12,8.945,-0.108,0.434,10,27
09 State aid,F00 Labor market,01 Need-based only,0.029,NA,NA,NA,NA,1,3
09 State aid,F00 Labor market,Both Need and Merit-Based,0.047,NA,NA,NA,NA,1,4
09 State aid,F00 Labor market,Merit-based only,0.009,NA,NA,NA,NA,2,4
