"","ES_ID","X","StudyID","y_CER","include_meta","He07_scale_re","He09_AQreceived","He11_funding","He12_COI","He05_Country_re","He05_Country_nonus","He16_published","He_asgn_type","Sa07_males","Sa21_scl_set","Sa22_scl_type","Sa08_SES_re","Sa_perc_nonwt","Sa_age_re","Sa24_be_dif_re","Cn02_condit","Cn03_name","Cn03_name_re","Cn05_lng_wks","Cn06_fidel","Cn08_univ_tert","Cn09_focus","Cn04_who_impl_re","Cn_devl_impl","Cn_Curr_group","Cn_Target_group","Cn_SclPlcy_group","Cn_PsyEd_group","Cn_SklRle_group","Cn_Train_group","Cn_Inter_group","Cn12_co_type","Cn13_co_same_scl","Cn14_co_contam","Co02_macro.1","Co03b_micro.1","Co03a_prp_vic.1","Co05_who.1","Co06_direction.1","Co07_nu_itms.1","Co10_coeff_val.1","Co12_att_beh.1","Co13_timeframe.1","z_pofo_weeks","z_post_or_follow","z_pre_int_eSS","z_pre_co_eSS","z_pofo_int_eSS","z_pofo_co_eSS","z_pofo_co_SS","z_pofo_int_SS","vi","yi_flp","yi_type","He17_attrition","He18_ba_eqv","He19_confound","He20_reliability","He21_any_other_issues","He22_WWC_rating"
"11",326183,140,1096,"02  Intervention versus Comparison","Include in meta","local","no-aq","01 Yes","No","Other","Non-US","Yes","ran_scl",0.47,"02  Urban","02  Private",4,0,13.5,"test-no-diff","01  Intervention","Cyber Friendly Schools Program","Named Program",104,"no-meas","01  Universal","target-cyber","teacher-or-staff","Oth-combo",1,1,1,1,1,1,1,"01  Business as usual or no intervention","02 No","02 No","A00  Cyberbullying","A01  Cyberbullying","02 Victimization","01  Self-report",NA,"10-plus",0.86,"02 Behavior","04 - 6 months",52,"01  Posttest",1579,1265,1326,1083,1276,1563,0.0023863924019574,-0.0863295634172223,"dnd_mn","la-rct","la-rct","no-confound","relib-met","no","MSWOR"
"12",326187,8,1160,"02  Intervention versus Comparison","Include in meta","local","no-aq","01 Yes","No","Oth_Eur","Non-US","Yes","ran_cls",0.47,"02  Urban","01  Public",1,0.2,13.3,"test-no-diff","01  Intervention","Media Heroes - Long","Named Program",10,"no-meas","01  Universal","target-cyber","teacher-or-staff","Oth-combo",1,0,0,1,1,1,0,"01  Business as usual or no intervention","01 Yes","02 No","A00  Cyberbullying","A01  Cyberbullying","01 Perpetration","01  Self-report",NA,"10-plus",0.92,"02 Behavior","03 - 60 days or 2 months",26,"01  Posttest",1587.8,2522.4,117,178,295,194,0.0143127047421952,-0.295218586113928,"mn_nopre","la-rct","la-rct","no-confound","relib-met","no","MSWOR"
"13",326209,94,1525,"02  Intervention versus Comparison","Include in meta","local","no-aq","01 Yes","No","US","US","Yes","non_ind",0.511,"01  Rural","01  Public",1,0.689,11.67,"test-diff-found","01  Intervention","Music Ensemble","Generic Program",52,"no-meas","02  Tertiary","no-cyber-target","teacher-or-staff","Oth-combo",1,0,0,0,1,0,0,"01  Business as usual or no intervention","01 Yes","02 No","A00  Cyberbullying","A01  Cyberbullying","01 Perpetration","01  Self-report",NA,"2-10",0.81,"02 Behavior","05 - 1 year or 12 months",12,"01  Posttest",1291.4,2570.2,178,292,292,178,0.00904268497418267,-0.00684960841440332,"mn_nopre","qed","does-not-control","no-confound","relib-met","no","DNMS"
"14",326210,151,1525,"02  Intervention versus Comparison","Include in meta","local","no-aq","01 Yes","No","US","US","Yes","non_ind",0.511,"01  Rural","01  Public",1,0.689,11.67,"test-diff-found","01  Intervention","Music Ensemble","Generic Program",52,"no-meas","02  Tertiary","no-cyber-target","teacher-or-staff","Oth-combo",1,0,0,0,1,0,0,"01  Business as usual or no intervention","01 Yes","02 No","A00  Cyberbullying","A01  Cyberbullying","02 Victimization","01  Self-report",NA,"2-10",0.79,"02 Behavior","05 - 1 year or 12 months",12,"01  Posttest",1650.6,2570.2,178,292,292,178,0.00904269415150249,0.00745277237446498,"mn_nopre","qed","does-not-control","no-confound","relib-met","no","DNMS"
"15",326211,279,1525,"02  Intervention versus Comparison","Include in meta","local","no-aq","01 Yes","No","US","US","Yes","non_ind",0.511,"01  Rural","01  Public",1,0.689,11.67,"test-diff-found","01  Intervention","Music Ensemble","Generic Program",52,"no-meas","02  Tertiary","no-cyber-target","teacher-or-staff","Oth-combo",1,0,0,0,1,0,0,"01  Business as usual or no intervention","01 Yes","02 No","B00  Aggression/Bullying","B03  Bullying","01 Perpetration","01  Self-report",NA,"2-10",0.81,"02 Behavior","02 - 30 days or 1 month",12,"01  Posttest",1299.2,2866.6,178,292,292,178,0.00904279605760504,-0.0123018515865959,"mn_nopre","qed","does-not-control","no-confound","relib-met","no","DNMS"
"16",326212,341,1525,"02  Intervention versus Comparison","Include in meta","local","no-aq","01 Yes","No","US","US","Yes","non_ind",0.511,"01  Rural","01  Public",1,0.689,11.67,"test-diff-found","01  Intervention","Music Ensemble","Generic Program",52,"no-meas","02  Tertiary","no-cyber-target","teacher-or-staff","Oth-combo",1,0,0,0,1,0,0,"01  Business as usual or no intervention","01 Yes","02 No","B00  Aggression/Bullying","B03  Bullying","02 Victimization","01  Self-report",NA,"2-10",0.89,"02 Behavior","02 - 30 days or 1 month",12,"01  Posttest",1300,2925.8,178,292,292,178,0.00904266655563916,0.00544092864668687,"mn_nopre","qed","does-not-control","no-confound","relib-met","no","DNMS"
"17",326213,426,1398,"02  Intervention versus Comparison","Include in meta","non-local","no-aq","01 Yes","No","Oth_Eur","Non-US","Yes","ran_scl",0.445,"02  Urban","01  Public",3,0,14.7,"did-not-test","01  Intervention","School-based Intervention to address risk factors for cyberbullying","Generic Program",8,"no-meas","01  Universal","target-cyber","teacher-or-staff","Oth-combo",1,0,1,1,1,0,1,"01  Business as usual or no intervention","02 No","02 No","H00  Internalizing","H05  Other positive internalizing ","05 Not applicable (i.e., grades, employment, substance use)","01  Self-report",NA,"10-plus",0.76,"01 Attitude","-98 GPA or other measure on the day of ",0,"01  Posttest",164,111,164,111,143,212,0.0193509893459272,-0.132802823904734,"dnd_mn","la-rct","la-rct","no-confound","relib-met","no","MSWOR"
"18",326215,433,1398,"02  Intervention versus Comparison","Include in meta","non-local","no-aq","01 Yes","No","Oth_Eur","Non-US","Yes","ran_scl",0.445,"02  Urban","01  Public",3,0,14.7,"did-not-test","01  Intervention","School-based Intervention to address risk factors for cyberbullying","Generic Program",8,"no-meas","01  Universal","target-cyber","teacher-or-staff","Oth-combo",1,0,1,1,1,0,1,"01  Business as usual or no intervention","02 No","02 No","H00  Internalizing","H05  Other positive internalizing ","05 Not applicable (i.e., grades, employment, substance use)","01  Self-report",NA,"1-item",0.65,"01 Attitude","-98 GPA or other measure on the day of ",0,"01  Posttest",164,111,164,111,143,212,0.0118012701751841,-0.121541776814212,"dnd_mn","la-rct","la-rct","no-confound","relib-met","no","MSWOR"
"19",326216,434,1398,"02  Intervention versus Comparison","Include in meta","non-local","no-aq","01 Yes","No","Oth_Eur","Non-US","Yes","ran_scl",0.445,"02  Urban","01  Public",3,0,14.7,"did-not-test","01  Intervention","School-based Intervention to address risk factors for cyberbullying","Generic Program",8,"no-meas","01  Universal","target-cyber","teacher-or-staff","Oth-combo",1,0,1,1,1,0,1,"01  Business as usual or no intervention","02 No","02 No","H00  Internalizing","H05  Other positive internalizing ","05 Not applicable (i.e., grades, employment, substance use)","01  Self-report",NA,"2-10",0.74,"01 Attitude","-98 GPA or other measure on the day of ",0,"01  Posttest",164,111,164,111,143,212,0.0125102864622892,-0.0368482613649473,"dnd_mn","la-rct","la-rct","no-confound","relib-met","no","MSWOR"
"20",326223,415,1398,"02  Intervention versus Comparison","Include in meta","non-local","no-aq","01 Yes","No","Oth_Eur","Non-US","Yes","ran_scl",0.445,"02  Urban","01  Public",3,0,14.7,"did-not-test","01  Intervention","School-based Intervention to address risk factors for cyberbullying","Generic Program",8,"no-meas","01  Universal","target-cyber","teacher-or-staff","Oth-combo",1,0,1,1,1,0,1,"01  Business as usual or no intervention","02 No","02 No","H00  Internalizing","H03  Other negative internalizing problem","05 Not applicable (i.e., grades, employment, substance use)","01  Self-report",NA,"10-plus",0.71,"02 Behavior","-98 GPA or other measure on the day of ",0,"01  Posttest",146,285,146,285,413,212,0.024980334237375,0.101851873142566,"dnd_mn","la-rct","la-rct","no-confound","relib-met","no","MSWOR"
"21",326224,413,1398,"02  Intervention versus Comparison","Include in meta","non-local","no-aq","01 Yes","No","Oth_Eur","Non-US","Yes","ran_scl",0.445,"02  Urban","01  Public",3,0,14.7,"did-not-test","01  Intervention","School-based Intervention to address risk factors for cyberbullying","Generic Program",8,"no-meas","01  Universal","target-cyber","teacher-or-staff","Oth-combo",1,0,1,1,1,0,1,"01  Business as usual or no intervention","02 No","02 No","H00  Internalizing","H03  Other negative internalizing problem","05 Not applicable (i.e., grades, employment, substance use)","01  Self-report",NA,"2-10",0.62,"02 Behavior","-98 GPA or other measure on the day of ",0,"01  Posttest",146,285,146,285,413,212,0.0107540041423547,0.0606004520659729,"dnd_mn","la-rct","la-rct","no-confound","relib-met","no","MSWOR"
"22",326225,414,1398,"02  Intervention versus Comparison","Include in meta","non-local","no-aq","01 Yes","No","Oth_Eur","Non-US","Yes","ran_scl",0.445,"02  Urban","01  Public",3,0,14.7,"did-not-test","01  Intervention","School-based Intervention to address risk factors for cyberbullying","Generic Program",8,"no-meas","01  Universal","target-cyber","teacher-or-staff","Oth-combo",1,0,1,1,1,0,1,"01  Business as usual or no intervention","02 No","02 No","H00  Internalizing","H03  Other negative internalizing problem","05 Not applicable (i.e., grades, employment, substance use)","01  Self-report",NA,"2-10",0.61,"02 Behavior","-98 GPA or other measure on the day of ",0,"01  Posttest",146,285,146,285,413,212,0.0156373119905837,0.100034405564413,"dnd_mn","la-rct","la-rct","no-confound","relib-met","no","MSWOR"
"23",326226,20,1398,"02  Intervention versus Comparison","Include in meta","non-local","no-aq","01 Yes","No","Oth_Eur","Non-US","Yes","ran_scl",0.445,"02  Urban","01  Public",3,0,14.7,"did-not-test","01  Intervention","School-based Intervention to address risk factors for cyberbullying","Generic Program",8,"no-meas","01  Universal","target-cyber","teacher-or-staff","Oth-combo",1,0,1,1,1,0,1,"01  Business as usual or no intervention","02 No","02 No","A00  Cyberbullying","A01  Cyberbullying","01 Perpetration","01  Self-report",NA,"1-item",0.78,"02 Behavior","06 - Lifetime (""ever"")",0,"01  Posttest",185,360,180,351,413,212,0.0288929084212823,-0.170163411602767,"dnd_mn","la-rct","la-rct","no-confound","relib-met","no","MSWOR"
"24",326227,21,1398,"02  Intervention versus Comparison","Include in meta","non-local","no-aq","01 Yes","No","Oth_Eur","Non-US","Yes","ran_scl",0.445,"02  Urban","01  Public",3,0,14.7,"did-not-test","01  Intervention","School-based Intervention to address risk factors for cyberbullying","Generic Program",8,"no-meas","01  Universal","target-cyber","teacher-or-staff","Oth-combo",1,0,1,1,1,0,1,"01  Business as usual or no intervention","02 No","02 No","A00  Cyberbullying","A01  Cyberbullying","01 Perpetration","01  Self-report",NA,"1-item",0.748,"02 Behavior","06 - Lifetime (""ever"")",0,"01  Posttest",185,360,180,351,413,212,0.0200142336552707,-0.0565380861244046,"dnd_mn","la-rct","la-rct","no-confound","relib-met","no","MSWOR"
"25",326228,22,1398,"02  Intervention versus Comparison","Include in meta","non-local","no-aq","01 Yes","No","Oth_Eur","Non-US","Yes","ran_scl",0.445,"02  Urban","01  Public",3,0,14.7,"did-not-test","01  Intervention","School-based Intervention to address risk factors for cyberbullying","Generic Program",8,"no-meas","01  Universal","target-cyber","teacher-or-staff","Oth-combo",1,0,1,1,1,0,1,"01  Business as usual or no intervention","02 No","02 No","A00  Cyberbullying","A01  Cyberbullying","01 Perpetration","01  Self-report",NA,"1-item",0.606,"02 Behavior","06 - Lifetime (""ever"")",0,"01  Posttest",185,360,180,351,413,212,0.0196852945016123,-0.130582562277379,"dnd_mn","la-rct","la-rct","no-confound","relib-met","no","MSWOR"
"26",326232,23,1398,"02  Intervention versus Comparison","Include in meta","non-local","no-aq","01 Yes","No","Oth_Eur","Non-US","Yes","ran_scl",0.445,"02  Urban","01  Public",3,0,14.7,"did-not-test","01  Intervention","School-based Intervention to address risk factors for cyberbullying","Generic Program",8,"no-meas","01  Universal","target-cyber","teacher-or-staff","Oth-combo",1,0,1,1,1,0,1,"01  Business as usual or no intervention","02 No","02 No","A00  Cyberbullying","A01  Cyberbullying","01 Perpetration","01  Self-report",NA,"1-item",0.604,"01 Attitude","-99 Not reported",0,"01  Posttest",185,360,180,351,413,212,0.0219846770596732,0.0604066869688136,"dnd_mn","la-rct","la-rct","no-confound","relib-met","no","MSWOR"
"27",326233,24,1398,"02  Intervention versus Comparison","Include in meta","non-local","no-aq","01 Yes","No","Oth_Eur","Non-US","Yes","ran_scl",0.445,"02  Urban","01  Public",3,0,14.7,"did-not-test","01  Intervention","School-based Intervention to address risk factors for cyberbullying","Generic Program",8,"no-meas","01  Universal","target-cyber","teacher-or-staff","Oth-combo",1,0,1,1,1,0,1,"01  Business as usual or no intervention","02 No","02 No","A00  Cyberbullying","A01  Cyberbullying","01 Perpetration","01  Self-report",NA,"2-10",0.82,"01 Attitude","-99 Not reported",0,"01  Posttest",185,360,180,351,413,212,0.0170543898735429,-0.0440319065418785,"dnd_mn","la-rct","la-rct","no-confound","relib-met","no","MSWOR"
"28",326234,25,1398,"02  Intervention versus Comparison","Include in meta","non-local","no-aq","01 Yes","No","Oth_Eur","Non-US","Yes","ran_scl",0.445,"02  Urban","01  Public",3,0,14.7,"did-not-test","01  Intervention","School-based Intervention to address risk factors for cyberbullying","Generic Program",8,"no-meas","01  Universal","target-cyber","teacher-or-staff","Oth-combo",1,0,1,1,1,0,1,"01  Business as usual or no intervention","02 No","02 No","A00  Cyberbullying","A01  Cyberbullying","01 Perpetration","01  Self-report",NA,"2-10",0.82,"01 Attitude","-98 GPA or other measure on the day of ",0,"01  Posttest",185,360,180,351,413,212,0.0157812649417643,-0.0535142937087865,"dnd_mn","la-rct","la-rct","no-confound","relib-met","no","MSWOR"
"29",326236,181,2142,"02  Intervention versus Comparison","Do not include - bystander only","local","no-aq","02 No","No","Oth_Eur","Non-US","Yes","ran_ind",0.51,"04  Mixture","01  Public",5,0.01,14.72,"did-not-test","01  Intervention","Cognitive Empathy Activation","Generic Program",0.14,"no-meas","01  Universal","target-cyber","teacher-or-staff","Oth-combo",0,0,0,1,1,0,1,"01  Business as usual or no intervention","01 Yes","02 No","A00  Cyberbullying","A02  Cyberbullying bystanding","03 Witnessing","01  Self-report",NA,"1-item",0.62,"02 Behavior","-98 GPA or other measure on the day of ",0,"01  Posttest",1159.2,2218.4,221,221,221,221,0.0225,-0.619182574261807,"aor",NA,NA,NA,NA,NA,NA
"30",326238,27,1096,"02  Intervention versus Comparison","Include in meta","local","no-aq","01 Yes","No","Other","Non-US","Yes","ran_scl",0.47,"02  Urban","02  Private",4,0,13.5,"test-no-diff","01  Intervention","Cyber Friendly Schools Program","Named Program",104,"no-meas","01  Universal","target-cyber","teacher-or-staff","Oth-combo",1,1,1,1,1,1,1,"01  Business as usual or no intervention","02 No","02 No","A00  Cyberbullying","A01  Cyberbullying","01 Perpetration","01  Self-report",NA,"10-plus",0.91,"02 Behavior","04 - 6 months",52,"01  Posttest",1525,1221,1225,1000,1276,1563,0.00275885118135619,-0.00467024988212048,"dnd_mn","la-rct","la-rct","no-confound","relib-met","no","MSWOR"
"31",326239,187,6134,"02  Intervention versus Comparison","Include in meta","local","no-aq","01 Yes","No","Other","Non-US","Yes","ran_scl",0.384,"02  Urban","01  Public",5,0.064,13.49,"test-no-diff","01  Intervention","Friendly ATTAC","Named Program",1,"no-meas","01  Universal","target-cyber","PI","PI-dev-imp",0,0,0,0,1,0,1,"01  Business as usual or no intervention","02 No","02 No","A00  Cyberbullying","A02  Cyberbullying bystanding","03 Witnessing","01  Self-report",NA,"1-item",0.706,"01 Attitude","04 - 6 months",0,"01  Posttest",129,109,125,102,102,125,0.0146554770023969,0.138849654749698,"dnd_mn","la-rct","la-rct","confound","relib-not-met","no","DNMS"
"32",326240,200,6134,"02  Intervention versus Comparison","Include in meta","local","no-aq","01 Yes","No","Other","Non-US","Yes","ran_scl",0.384,"02  Urban","01  Public",5,0.064,13.49,"test-no-diff","01  Intervention","Friendly ATTAC","Named Program",1,"no-meas","01  Universal","target-cyber","PI","PI-dev-imp",0,0,0,0,1,0,1,"01  Business as usual or no intervention","02 No","02 No","A00  Cyberbullying","A02  Cyberbullying bystanding","03 Witnessing","01  Self-report",NA,"1-item",0.482,"01 Attitude","04 - 6 months",0,"01  Posttest",129,109,125,102,102,125,0.0145874460109587,-0.0500564135543365,"dnd_mn","la-rct","la-rct","confound","relib-not-met","no","DNMS"
"33",326241,198,6134,"02  Intervention versus Comparison","Include in meta","local","no-aq","01 Yes","No","Other","Non-US","Yes","ran_scl",0.384,"02  Urban","01  Public",5,0.064,13.49,"test-no-diff","01  Intervention","Friendly ATTAC","Named Program",1,"no-meas","01  Universal","target-cyber","PI","PI-dev-imp",0,0,0,0,1,0,1,"01  Business as usual or no intervention","02 No","02 No","A00  Cyberbullying","A02  Cyberbullying bystanding","03 Witnessing","01  Self-report",NA,"1-item",0.678,"01 Attitude","04 - 6 months",0,"01  Posttest",129,109,125,102,102,125,0.0146472939060623,-0.0273693862172376,"dnd_mn","la-rct","la-rct","confound","relib-not-met","no","DNMS"
"34",326242,193,6134,"02  Intervention versus Comparison","Include in meta","local","no-aq","01 Yes","No","Other","Non-US","Yes","ran_scl",0.384,"02  Urban","01  Public",5,0.064,13.49,"test-no-diff","01  Intervention","Friendly ATTAC","Named Program",1,"no-meas","01  Universal","target-cyber","PI","PI-dev-imp",0,0,0,0,1,0,1,"01  Business as usual or no intervention","02 No","02 No","A00  Cyberbullying","A02  Cyberbullying bystanding","03 Witnessing","01  Self-report",NA,"1-item",0.7,"01 Attitude","04 - 6 months",0,"01  Posttest",129,109,125,102,102,125,0.01465826162576,-0.162207669132102,"dnd_mn","la-rct","la-rct","confound","relib-not-met","no","DNMS"
"35",326243,178,6134,"02  Intervention versus Comparison","Include in meta","local","no-aq","01 Yes","No","Other","Non-US","Yes","ran_scl",0.384,"02  Urban","01  Public",5,0.064,13.49,"test-no-diff","01  Intervention","Friendly ATTAC","Named Program",1,"no-meas","01  Universal","target-cyber","PI","PI-dev-imp",0,0,0,0,1,0,1,"01  Business as usual or no intervention","02 No","02 No","A00  Cyberbullying","A02  Cyberbullying bystanding","03 Witnessing","01  Self-report",NA,"1-item",0.626,"01 Attitude","04 - 6 months",0,"01  Posttest",129,109,125,102,102,125,0.0145935344489354,-0.010635722118881,"dnd_mn","la-rct","la-rct","confound","relib-not-met","no","DNMS"
"36",326244,191,2142,"02  Intervention versus Comparison","Do not include - bystander only","local","no-aq","02 No","No","Oth_Eur","Non-US","Yes","ran_ind",0.51,"04  Mixture","01  Public",5,0.01,14.72,"did-not-test","01  Intervention","Cognitive Empathy Activation","Generic Program",1,"no-meas","01  Universal","target-cyber","teacher-or-staff","Oth-combo",0,0,0,1,1,0,1,"01  Business as usual or no intervention","01 Yes","02 No","A00  Cyberbullying","A02  Cyberbullying bystanding","03 Witnessing","01  Self-report",NA,"1-item",0.692,"02 Behavior","-98 GPA or other measure on the day of ",1,"01  Posttest",1177.6,2574,221,221,221,221,0.0121,-0.756529129225767,"aor",NA,NA,NA,NA,NA,NA
